,text,target,T,A,polarity
0,    LOCATION1 is transforming and the prices will go up and up,,LOCATION1,price,Negative
1,  Along LOCATION1 there are lots of Electronics shops (independent ones),,LOCATION1,shopping,Positive
2,  And LOCATION1 is ten mins direct on the tube to LOCATION2:  ,,LOCATION1,transit-location,Positive
3,  Another option is LOCATION1 which is very central and has tons of clubs/bars within walking distance of each other,,LOCATION1,transit-location,Positive
4,  Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice ,,LOCATION2,general,Positive
5,  Central London based taxis mostly refuse fares to suburban areas like LOCATION1,,LOCATION1,transit-location,Negative
6,  Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in,,LOCATION1,safety,Negative
7,"  Down here in South London the accent [local] tends to be a bit more Kent, while the accent [local] in LOCATION1 tends to be a bit more Essex and Hertfordshire",,LOCATION1,safety,Negative
8,  Everyone in LOCATION1 is now black or Bangladeshi,,LOCATION1,multicultural,Positive
9,  For gods sake don't move to LOCATION1 its horrible,,LOCATION1,general,Negative
10,  I also live in LOCATION1,,LOCATION1,general,Negative
11,  I don't live in London but I know the gay part of London would be LOCATION1,,LOCATION1,general,Negative
12,  I dont like LOCATION1 at all,,LOCATION1,general,Negative
13,  I have friends living in LOCATION1 and love it,,LOCATION1,general,Positive
14,  I have heard that LOCATION1 is the place to live in London ,,LOCATION1,live,Positive
15,  I liv in LOCATION1 in LOCATION2 which is a place where a lot of violence happens wiv gangs e,,LOCATION1,safety,Negative
16,  I live in LOCATION1 and I cant say I recommend it,,LOCATION1,live,Positive
17,"  I live in LOCATION1, been here 11 years with no problems",,LOCATION1,safety,Positive
18,"  I live in LOCATION1, there's great access to transport, some great pubs, beautiful houses in some areas, good schools",,LOCATION1,transit-location,Positive
19,"  I lived in LOCATION1  for ten years it was rough , it was sooo close to the centre of town but so cheap",,LOCATION1,safety,Negative
20,  I lived in LOCATION1 for 6 months and adored it,,LOCATION1,general,Positive
21,  I lived in LOCATION1 from birth to 23 years very near to the Arsenal Stadium,,LOCATION1,general,Positive
22,  I really like LOCATION1  I lived there for 3 months and had a lot of fun,,LOCATION1,live,Positive
